Filename,Title,Usecase,Status
fuel_oil_pumps___suction_capacities.md,Fuel Oil Pumps - Suction Capacities,datatable,done
fuel_oil_storage_tanks.md,Fuel Oil Storage Tanks,chart-table,done
fuel_oils___densities_vs__temperature.md,Fuel Oils - Densities vs. Temperature,calculator,done
fuels___boiling_points.md,Fuels - Boiling Points,calculator,done
fuels___combustion_air_and_flue_gases.md,Fuels - Combustion Air and Flue Gases,calculator,done
fuels___densities_and_specific_volumes.md,Fuels - Densities and Specific Volumes,datatable,done
fuels___properties_database.md,Fuels - Properties Database,calculator,done
fuels_and_chemicals___autoignition_temperatures.md,Fuels and Chemicals - Autoignition Temperatures,datatable,done
fuels_flue_gases___average_dew_points.md,Fuels Flue Gases - Average Dew Points,chart,done
fujita_pearson_tornado_intensity_scale.md,Fujita-Pearson Tornado Intensity Scale,calculator,done
fusion_and_evaporation_heat_of_common_materials.md,Fusion and Evaporation Heat of common Materials,datatable,done
gallons_vs__pounds_of_water_converter.md,Gallons vs. Pounds of Water Converter,chart-table,done
galvanic_corrosion_vs__electrode_potential.md,Galvanic Corrosion vs. Electrode Potential,datatable,done
gas_cookers___marks_vs__temperature.md,Gas Cookers - Marks vs. Temperature,calculator,done
gas_data.md,Gas Data,calculator,done
gas_mixtures___properties.md,Gas Mixtures - Properties,datatable,done
gas_pipes___approved_materials.md,Gas Pipes - Approved Materials,calculator,done
gas_pipes___low_pressure_sizing.md,Gas Pipes - Low Pressure Sizing,datatable,done
gas_vent_termination___clearance_vs__roof_slope.md,Gas Vent Termination - Clearance vs. Roof Slope,chart-table,done
gaseous_fuels___chemical_composition.md,Gaseous Fuels - Chemical Composition,datatable,done
gases___control_valve_calculator.md,Gases - Control Valve Calculator,datatable,done
gases___dangerous_concentration_levels.md,Gases - Dangerous Concentration Levels,datatable,done
gases___dynamic_viscosities.md,Gases - Dynamic Viscosities,datatable,done
gases___explosion_and_flammability_concentration_l.md,Gases - Explosion and Flammability Concentration Limits,calculator,done
gases___gross_and_net_heat_values.md,Gases - Gross and Net Heat Values,datatable,done
gases___molar_specific_heats.md,Gases - Molar Specific Heats,datatable,done
gases___ratios_of_specific_heat.md,Gases - Ratios of Specific Heat,datatable,done
gases___specific_gravities.md,Gases - Specific Gravities,datatable,done
gases___specific_heat_and_individual_gas_constants.md,Gases - Specific Heat and Individual Gas Constants,calculator,done
gases___speed_of_sound.md,Gases - Speed of Sound,none,pending
gases_solved_in_water___diffusion_coefficients.md,Gases Solved in Water - Diffusion Coefficients,none,pending
gasket_characteristics.md,Gasket Characteristics,none,pending
gasoline___density__specific_heat__viscosity_and_t.md,"Gasoline - Density, Specific Heat, Viscosity and Thermal Conductivity vs. Temperature",datatable,done
gear_reducing_formulas.md,Gear Reducing Formulas,calculator,done
gear_trains___bicycle_gearing_calculator.md,Gear Trains - Bicycle Gearing Calculator,calculator,done
gears.md,Gears,datatable,done
geological_time.md,Geological Time,calculator-table,done
geometric_shapes___areas.md,Geometric Shapes - Areas,chart-table,done
glazing_materials___optical_properties.md,Glazing Materials - Optical Properties,none,pending
global_temperature_trend.md,Global Temperature Trend,none,pending
globe_temperature.md,Globe Temperature,calculator,done
glue_laminated_timber___dimensions.md,Glue-Laminated Timber - Dimensions,datatable,done
glycerine___boiling_and_freezing_points.md,Glycerine - Boiling and Freezing Points,calculator,done
gold_binary_eutectic_alloys___melting_points.md,Gold Binary Eutectic Alloys - Melting Points,calculator,done
golden_section.md,Golden Section,calculator,done
gravel___cover_area.md,Gravel - Cover Area,datatable,done
grease___temperature_limits.md,Grease - Temperature Limits,datatable,done
great_sensible_heat_factor___gshf.md,Great Sensible Heat Factor - GSHF,calculator-chart,done
greek_alphabet.md,Greek Alphabet,datatable,done
grit_size_vs__surface_roughness.md,Grit Size vs. Surface Roughness,calculator,done
gross_combustion_values_for_some_common_materials.md,Gross Combustion Values for some common Materials,calculator,done
hardwood_and_softwood_species.md,Hardwood and Softwood Species,datatable,done
hardwood_and_softwoods___recommended_drill_bit_spe.md,Hardwood and Softwoods - Recommended Drill Bit Speeds,calculator,done
hardwood_lumber___dimensions.md,Hardwood Lumber - Dimensions,datatable,done
harmonic_oscillator.md,Harmonic Oscillator,datatable,done
hazard_vs__flash_points.md,Hazard vs. Flash Points,datatable,done
hazardous_areas___european_classification_standard.md,Hazardous Areas - European Classification Standard,calculator-chart,done
hazardous_areas___north_america_classification.md,Hazardous Areas - North America Classification,calculator,done
hazen_williams_friction_loss_coefficients__data___.md,Hazen-Williams Friction Loss Coefficients: Data & Reference Guide,datatable,done
hazen_williams_water_flow_formula__head_loss__data.md,"Hazen-Williams Water Flow Formula: Head Loss, Data, Charts & Calculator",calculator,done
he_a_steel_beams.md,HE-A Steel Beams,datatable,done
he_b_steel_beams.md,HE-B Steel Beams,calculator-chart,done
he_m_steel_beams.md,HE-M Steel Beams,calculator,done
health_and_relative_humidity_of_air.md,Health and Relative Humidity of Air,datatable,done
heat__work_and_energy.md,"Heat, Work and Energy",calculator,done
heat_capacity.md,Heat Capacity,datatable,done
heat_discomfort_zones.md,Heat Discomfort Zones,datatable,done
heat_index.md,Heat Index,datatable,done
heat_index_vs__humidity.md,Heat Index vs. Humidity,calculator-table,done
heat_loss_and_insulation.md,Heat Loss and Insulation,datatable,done
heat_recovery_efficiency.md,Heat Recovery Efficiency,datatable,done
heat_traced_pipes___wrapping_factor.md,Heat Traced Pipes - Wrapping Factor,calculator-chart,done
heat_transfer_coefficients_in_heat_exchanger_surfa.md,Heat Transfer Coefficients in Heat Exchanger Surface Combinations,datatable,done
heating_fuels___cost_comparing.md,Heating Fuels - Cost Comparing,datatable,done
heating_systems.md,Heating Systems,datatable,done
heating_systems___steam_and_condensate_loads.md,Heating Systems - Steam and Condensate Loads,chart,done
heating_values_of_fuel_gases.md,Heating Values of Fuel Gases,chart-table,done
heavy_water___thermophysical_properties.md,Heavy Water - Thermophysical Properties,calculator,done
helium___density_and_specific_weight_vs__temperatu.md,Helium - Density and Specific Weight vs. Temperature and Pressure,calculator,done
helium___thermophysical_properties.md,Helium - Thermophysical Properties,calculator-table,done
hexagons_and_squares___diagonal_lengths.md,Hexagons and Squares - Diagonal Lengths,datatable,done
high_and_low_heat_values.md,High and Low Heat Values,datatable,done
higher_calorific_values_of_common_fuels__reference.md,Higher Calorific Values of Common Fuels: Reference & Data,none,pending
hooke_s_law.md,Hooke's Law,datatable,done
horizontal_drainage_pipe___required_slopes.md,Horizontal Drainage Pipe - Required Slopes,calculator-table,done
horizontal_pipe_hanger_supports___spacing_and_rod_.md,Horizontal Pipe Hanger Supports - Spacing and Rod Size,calculator,done
horizontal_storm_drain_piping.md,Horizontal Storm Drain Piping,calculator,done
horsepower_required__to_pump_water.md,Horsepower Required  to Pump Water,calculator-chart,done
horsepower_required_to_compress_air.md,Horsepower required to Compress Air,calculator,done
hoses___water_volume_discharge_flow_vs__pressure.md,Hoses - Water Volume Discharge Flow vs. Pressure,calculator,done
hot_air_balloon_lifting_force_calculator.md,Hot Air Balloon Lifting Force Calculator,calculator,done
hot_and_cold_water_pipes_sizing.md,Hot and Cold Water Pipes Sizing,calculator,done
hot_water_boiler___circulation_rates.md,Hot Water Boiler - Circulation Rates,calculator,done
hot_water_circulation_system___return_pipes.md,Hot Water Circulation System - Return Pipes,datatable,done
hot_water_consumption_vs__occupants.md,Hot Water Consumption vs. Occupants,datatable,done
hot_water_heating_systems___pressure_loss_in_steel.md,Hot Water Heating Systems - Pressure Loss in Steel Pipes,calculator,done
hot_water_storage_tanks___capacities_vs__dimension.md,Hot Water Storage Tanks - Capacities vs. Dimensions,chart,done
hot_water_supply___flow_rates_to_fixtures.md,Hot Water Supply - Flow Rates to Fixtures,chart-table,done
house_gas_pipes___capacities_vs__dimensions.md,House Gas Pipes - Capacities vs. Dimensions,chart-table,done
how_to_calculate_the_density_of_slurries__formula_.md,How to Calculate the Density of Slurries: Formula and Examples,calculator,done
html_color_codes.md,HTML Color Codes,chart-table,done
human_body___specific_heat.md,Human Body - Specific Heat,datatable,done
human_body_composition.md,Human Body Composition,datatable,done
human_effects_when_exposed_to_low_frequency_noise_.md,Human Effects when Exposed to Low-Frequency Noise or Vibration,calculator-chart,done
human_effort_levels___energy_and_heart_rates.md,Human Effort Levels - Energy and Heart Rates,calculator,done
human_heat_gain.md,Human Heat Gain,calculator-chart,done
human_life_expectancy.md,Human Life Expectancy,calculator-chart,done
human_need_of_air.md,Human Need of Air,datatable,done
humans___required_rest_time.md,Humans - Required Rest Time,datatable,done
humid_air___heating.md,Humid Air - Heating,chart-table,done
humid_air_and_the_ideal_gas_law.md,Humid Air and the Ideal Gas Law,calculator-chart,done
hurricane_intensity_scale.md,Hurricane Intensity Scale,calculator,done
hvac_abbreviations.md,HVAC Abbreviations,datatable,done
hvac_diagram___online_drawing_tool.md,HVAC Diagram - Online Drawing Tool,datatable,done
hvac_terms.md,HVAC Terms,calculator,done
hydraulic_cylinder_area_vs__diameter.md,Hydraulic Cylinder Area vs. Diameter,calculator,done
hydraulic_cylinders___volume_displacement.md,Hydraulic Cylinders - Volume Displacement,calculator,done
hydraulic_force_and_pascal_s_law.md,Hydraulic Force and Pascal's Law,datatable,done
hydraulic_force_vs__pressure_and_cylinder_size.md,Hydraulic Force vs. Pressure and Cylinder Size,calculator-table,done
hydraulic_oil_pump___horsepower_vs__pressure_and_v.md,Hydraulic Oil Pump - Horsepower vs. Pressure and Volume Flow,calculator-table,done
hydraulic_pump_motor_sizing.md,Hydraulic Pump Motor Sizing,calculator,done
hydraulic_pump_volume_capacity.md,Hydraulic Pump Volume Capacity,calculator,done
hydrocarbon_mixtures___average_boiling_points_vs__.md,Hydrocarbon Mixtures - Average Boiling Points vs. Gravity and Molecular Weights,datatable,done
hydrocarbon_mixtures___molecular_weight_vs__gravit.md,Hydrocarbon Mixtures - Molecular Weight vs. Gravity and Average Boiling Point,chart-table,done
hydrocarbons____physical_data.md,Hydrocarbons  - Physical Data,datatable,done
hydrocarbons___autoignition_temperatures_and_flash.md,Hydrocarbons - Autoignition Temperatures and Flash Points,calculator-table,done
hydrocarbons___melting_point_vs__molecular_weight.md,Hydrocarbons - Melting Point vs. Molecular Weight,calculator,done
hydrocarbons___vapor_pressures.md,Hydrocarbons - Vapor Pressures,datatable,done
hydrocarbons__alcohols_and_acids___boiling_points.md,"Hydrocarbons, Alcohols and Acids - Boiling points",calculator,done
hydrocarbons__linear_alcohols_and_acids___densitie.md,"Hydrocarbons, Linear Alcohols and Acids - Densities",datatable,done
hydrogen___density_and_specific_weight_vs__tempera.md,Hydrogen - Density and Specific Weight vs. Temperature and Pressure,calculator-chart,done
hydrogen___specific_heat.md,Hydrogen - Specific Heat,datatable,done
hydrogen___thermophysical_properties.md,Hydrogen - Thermophysical Properties,datatable,done
hydrogen_sulfide___thermophysical_properties.md,Hydrogen sulfide - Thermophysical Properties,datatable,done
hydropower.md,Hydropower,none,pending
hydrostatic_force_acting_on_submerged_surface.md,Hydrostatic Force acting on Submerged Surface,datatable,done
hydrostatic_pressure_vs__depth.md,Hydrostatic Pressure vs. Depth,calculator,done
hyperbolic_functions.md,Hyperbolic Functions,datatable,done
ice___properties.md,Ice - Properties,datatable,done
ice___safe_load_vs__thickness.md,Ice - Safe Load vs. Thickness,calculator,done
ice___thermal_properties.md,Ice - Thermal Properties,calculator-table,done
ice_and_water___melting_points_vs__pressure.md,Ice and Water - Melting Points vs. Pressure,datatable,done
ice_loaded_pipelines.md,Ice Loaded Pipelines,chart,done
iec_electric_motor_duty_cycles.md,IEC Electric Motor Duty Cycles,calculator,done
illuminance___recommended_light_levels.md,Illuminance - Recommended Light Levels,chart-table,done
impact_force.md,Impact Force,datatable,done
improvised_torque_wrench.md,Improvised Torque Wrench,datatable,done
impulse_and_impulse_force.md,Impulse and Impulse Force,calculator-table,done
inches__fractional_to_decimal_equivalents_conversi.md,Inches: Fractional to Decimal Equivalents Conversion Chart,datatable,done
inches_to_millimeters_conversion_calculator.md,Inches to Millimeters Conversion Calculator,datatable,done
inches_vs__feet__yards_and_meters___conversion_cha.md,"Inches vs. Feet, Yards and Meters - Conversion Chart",chart-table,done
income_tax.md,Income Tax,datatable,done
incompressible_flow_calculator.md,Incompressible Flow Calculator,datatable,done
individual___universal_gas_constants__definitions_.md,"Individual & Universal Gas Constants: Definitions, Values, and Applications",calculator,done
indoor_comfort_temperatures_vs__outdoor_temperatur.md,Indoor Comfort Temperatures vs. Outdoor Temperatures,none,pending
indoor_relative_humidity_vs__outdoor_relative_humi.md,Indoor Relative Humidity vs. Outdoor Relative Humidity and Temperature,datatable,done
indoor_temperature_and_humidity_loads.md,Indoor Temperature and Humidity Loads,none,pending
inductance.md,Inductance,datatable,done
induction_motors___no__of_poles_and_synchronous_vs.md,Induction Motors - No. of Poles and Synchronous vs. Full Load Speed,none,pending
inductors___stored_energy.md,Inductors - Stored Energy,chart-table,done
industrial_lubricants___viscosities_vs__iso_vg_gra.md,Industrial Lubricants - Viscosities vs. ISO-VG Grade,calculator-chart,done
inflation_rate.md,Inflation Rate,calculator,done
inorganic_acids_and_bases___pka_values.md,Inorganic Acids and Bases - pKa Values,datatable,done
inorganic_compounds_in_water___melting_and_boiling.md,"Inorganic Compounds in Water - Melting and Boiling Temperature, Density and Solubility",datatable,done
insulated_copper_tubes___heat_loss.md,Insulated Copper Tubes - Heat Loss,calculator-table,done
insulated_steam_pipes___condensate_generated.md,Insulated Steam Pipes - Condensate Generated,calculator-table,done
insulated_steam_pipes___condensate_generated__kg_h.md,Insulated Steam Pipes - Condensate Generated (kg/h per 100m),calculator,done
insulation_and_heat_loss_from_steam_and_condesate_.md,Insulation and Heat Loss from Steam and Condesate Pipe Lines,calculator,done
insulation_materials___operating_temperature_limit.md,Insulation Materials - Operating Temperature Limits,calculator,done
insulation_of_cooling_systems.md,Insulation of Cooling Systems,calculator,done
interest_formulas.md,Interest Formulas,calculator,done
interest_rate.md,Interest Rate,none,pending
intermediate_metal_conduit___imc.md,Intermediate Metal Conduit - IMC,calculator,done
intermittent_combustion_and_boiler_efficiency.md,Intermittent Combustion and Boiler Efficiency,calculator-table,done
internal_rate_of_return___irr.md,Internal Rate of Return - IRR,calculator,done
international_standard_atmosphere.md,International Standard Atmosphere,calculator,done
international_standard_organizations.md,International Standard Organizations,calculator,done
international_valve_standards.md,International Valve Standards,calculator,done
investments_in_renewable_energy.md,Investments in Renewable Energy,calculator,done
ionic_compounds_in_water___solubility_guidelines.md,Ionic Compounds in Water - Solubility Guidelines,chart,done
ip___ingress_protection_ratings.md,IP - Ingress Protection Ratings,datatable,done
iron___density__specific_heats_and_thermal_conduct.md,"Iron - Density, Specific Heats and Thermal Conductivities vs. Temperatures",datatable,done
iron_binary_eutectic_alloys___melting_points.md,Iron Binary Eutectic Alloys - Melting Points,calculator-table,done
isa_instrumentation_codes_used_in_process_control_.md,ISA Instrumentation Codes used in Process Control Systems,calculator,done
isentropic_flow.md,Isentropic Flow,calculator,done
iso_28741_metric_thread_dimensions_for_spark_plugs.md,ISO 28741 Metric Thread Dimensions for Spark Plugs,datatable,done
iso_724___metric_threads.md,ISO 724 - Metric Threads,calculator,done
iso___international_organization_for_standardizati.md,ISO - International Organization for Standardization,calculator,done
iso_grade_oils___viscosities_and_densities.md,ISO Grade Oils - Viscosities and Densities,calculator,done
iso_valve_standards.md,ISO Valve Standards,calculator,done
isopropanol__2_propanol__based_freeze_protected_wa.md,Isopropanol (2-Propanol) based Freeze Protected Water Solutions,none,pending
jet_fuel___density_vs__temperature.md,Jet Fuel - Density vs. Temperature,datatable,done
jet_propulsion.md,Jet Propulsion,datatable,done
jis___japanese_industrial_standards.md,JIS - Japanese Industrial Standards,datatable,done
jis___valve_standards.md,JIS - Valve Standards,datatable,done
kinematic_viscosity___online_converter.md,Kinematic Viscosity - Online Converter,datatable,done
kinematic_viscosity___unit_converter.md,Kinematic Viscosity - Unit Converter,chart,done
kinetic_energy.md,Kinetic Energy,calculator,done
kirchhoff_s_voltage_and_current_laws.md,Kirchhoff's Voltage and Current Laws,chart-table,done
laminar__transitional_and_turbulent_flow.md,"Laminar, Transitional and Turbulent Flow",datatable,done
laminar_flow___friction_coefficients.md,Laminar Flow - Friction Coefficients,calculator-chart,done
laminar_vs__turbulent_flow___reynolds_number_expla.md,Laminar vs. Turbulent Flow - Reynolds Number Explained with Calculator,calculator-table,done
laplace_equation.md,Laplace Equation,calculator,done
latent_heat_flow.md,Latent Heat Flow,datatable,done
latent_heat_of_melting_common_materials.md,Latent Heat of Melting common Materials,none,pending
latitude_and_longitude_converter__convert_between_.md,"Latitude and Longitude Converter: Convert Between Degrees, Minutes, Seconds, and Decimal Units",datatable,done
law_of_cosines.md,Law of Cosines,datatable,done
law_of_sines.md,Law of Sines,datatable,done
law_of_tangents.md,Law of Tangents,datatable,done
laws_of_indices.md,Laws of Indices,datatable,done
lead_acid_batteries.md,Lead-Acid Batteries,datatable,done
lead_binary_eutectic_alloys___melting_points.md,Lead Binary Eutectic Alloys - Melting Points,datatable,done
legionella.md,Legionella,datatable,done
length___online_unit_converter.md,Length - Online Unit Converter,datatable,done
length_of_a_spiral.md,Length of a Spiral,none,pending
length_units_converter.md,Length Units Converter,calculator-table,done
lengths_and_areas_vs__mapping_scales.md,Lengths and Areas vs. Mapping Scales,none,pending
leni___lighting_energy_numeric_indicator.md,LENI - Lighting Energy Numeric Indicator,chart-table,done
levers.md,Levers,datatable,done
lift_and_drag.md,Lift and Drag,datatable,done
lifting_wheels.md,Lifting Wheels,none,pending
light_beam_path_for_a_prism.md,Light Beam Path for a Prism,chart,done
light_oil_pumping___flow_velocities.md,Light Oil Pumping - Flow Velocities,calculator,done
light_oil_suction___flow_velocities.md,Light Oil Suction - Flow Velocities,calculator-chart,done
lights_vs__power_installation.md,Lights vs. Power Installation,datatable,done
ligths___color_temperatures.md,Ligths - Color Temperatures,calculator-table,done
linear_thermal_expansion_coefficients_of_materials.md,Linear Thermal Expansion Coefficients of Materials,calculator,done
lined_sheet_metal_ducts___sound_attenuation.md,Lined Sheet-Metal Ducts - Sound Attenuation,calculator,done
liquid__steam_and_gas___flow_coefficients_cv.md,"Liquid, Steam and Gas - Flow Coefficients Cv",datatable,done
liquid_ammonia___thermal_properties_at_saturation_.md,Liquid Ammonia - Thermal Properties at Saturation Pressure,datatable,done
liquid_densities.md,Liquid Densities,calculator,done
liquid_flow_from_containers___emptying_time.md,Liquid Flow from Containers - Emptying Time,calculator,done
liquid_liquid_solution___shrinkage_and_estimation_.md,Liquid-Liquid Solution - Shrinkage and Estimation of Density,datatable,done
liquids___densities_vs__pressure_and_temperature_c.md,Liquids - Densities vs. Pressure and Temperature Change,calculator,done
liquids___dielectric_constants.md,Liquids - Dielectric Constants,datatable,done
liquids___dynamic_viscosities.md,Liquids - Dynamic Viscosities,calculator,done
liquids___freezing_and_melting_points.md,Liquids - Freezing and Melting Points,datatable,done
liquids___kinematic_viscosities.md,Liquids - Kinematic Viscosities,calculator,done
liquids___latent_heat_of_evaporation.md,Liquids - Latent Heat of Evaporation,calculator,done
liquids___specific_gravities.md,Liquids - Specific Gravities,datatable,done
liquids___speed_of_sound.md,Liquids - Speed of Sound,calculator,done
liquids___thermal_conductivities.md,Liquids - Thermal Conductivities,datatable,done
liquids___vapor_pressures.md,Liquids - Vapor Pressures,calculator,done
liquids___volumetric_expansion_coefficients.md,Liquids - Volumetric Expansion Coefficients,calculator-table,done
liquids_and_gases___boiling_points.md,Liquids and Gases - Boiling Points,none,pending
lng___liquefied_natural_gas.md,LNG - Liquefied Natural Gas,calculator,done
logarithms.md,Logarithms,datatable,done
low_frequency_vibrations_effects_on_building_const.md,Low-Frequency Vibrations Effects on Building Constructions,datatable,done
low_pressure_steam_pipes___pressure_drops.md,Low Pressure Steam Pipes - Pressure Drops,datatable,done
low_pressure_steam_safety_valves___capacities.md,Low Pressure Steam Safety Valves - Capacities,chart-table,done
lpg___gas_properties.md,LPG - Gas Properties,chart-table,done
lpg___liquefied_petroleum_gas.md,LPG - Liquefied Petroleum Gas,chart-table,done
lpg_tanks___relief_valves_capacities.md,LPG Tanks - Relief Valves Capacities,datatable,done
lubricated_bolts_and_reduced_torque.md,Lubricated Bolts and Reduced Torque,datatable,done
lubricating_oil___densities_vs__temperature.md,Lubricating Oil - Densities vs. Temperature,chart,done
lumber___surface_finishing.md,Lumber - Surface Finishing,calculator-table,done
lumber_weights__green__kiln_dried___pressure_treat.md,"Lumber Weights: Green, Kiln-Dried & Pressure-Treated Wood",datatable,done
luminous_efficacy.md,Luminous Efficacy,datatable,done
mach_number.md,Mach Number,chart-table,done
machine_processing___tolerance_grades.md,Machine Processing - Tolerance Grades,datatable,done
magnesium_binary_eutectic_alloys___melting_points.md,Magnesium Binary Eutectic Alloys - Melting Points,datatable,done
major_loss_online_calculator___the_darcy_weisbach_.md,Major Loss Online Calculator - the Darcy-Weisbach Friction Loss Equation,datatable,done
malleability_vs__brittlenes_vs__ductility.md,Malleability vs. Brittlenes vs. Ductility,datatable,done
manila_ropes___strength.md,Manila Ropes - Strength,datatable,done
manning_s_formula_and_gravity_flow.md,Manning's Formula and Gravity Flow,datatable,done
manning_s_roughness_coefficients_for_open_channel_.md,Manning’s Roughness Coefficients for Open Channel Flow,datatable,done
markup_and_gross_profit.md,Markup and Gross Profit,none,pending
masonry_blocks___dimensions.md,Masonry Blocks - Dimensions,chart-table,done
mass_moment_of_inertia.md,Mass Moment of Inertia,datatable,done
mass_vs_weight.md,Mass vs Weight,chart-table,done
materials___light_reflecting_factors.md,Materials - Light Reflecting Factors,calculator-chart,done
maximizing_space__fit_small_rectangles_inside_a_la.md,Maximizing Space: Fit Small Rectangles Inside a Larger Rectangle,calculator,done
maximum_sound_pressure_levels_in_rooms.md,Maximum Sound Pressure Levels in Rooms,calculator-table,done
measurement_of_electrical_power.md,Measurement of Electrical Power,chart-table,done
measurements___absolute_vs__relative_frequencies.md,Measurements - Absolute vs. Relative Frequencies,calculator-table,done
measurements_and_instrumentation.md,Measurements and Instrumentation,datatable,done
mechanical_energy_equation_vs__bernoulli_equation.md,Mechanical Energy Equation vs. Bernoulli Equation,chart-table,done
medical_gas_piping.md,Medical Gas Piping,calculator,done
melting_and_boiling_temperatures___evaporation_and.md,Melting and Boiling Temperatures - Evaporation and Melting Heats common Materials,calculator-table,done
melting_and_freezing_points.md,Melting and Freezing Points,calculator-chart,done
melting_points_of_hydrocarbons__alcohols_and_acids.md,"Melting points of Hydrocarbons, Alcohols and Acids",datatable,done
mercury___thermodynamic_properties.md,Mercury - Thermodynamic Properties,chart-table,done
mesh_sizes_vs__particle_diameters.md,Mesh Sizes vs. Particle Diameters,chart-table,done
met___human_metabolic_rates.md,Met - Human Metabolic Rates,datatable,done
metabolic_heat_gain_from_persons.md,Metabolic Heat Gain from Persons,datatable,done
metal_alloys___melting_points.md,Metal Alloys - Melting Points,datatable,done
metal_alloys___specific_heats.md,Metal Alloys - Specific Heats,none,pending
metal_content_in_minerals.md,Metal Content in Minerals,calculator,done
metals___boiling_points_and_specific_heat.md,Metals - Boiling Points and Specific Heat,calculator-chart,done
metals___boiling_temperatures.md,Metals - Boiling Temperatures,calculator-table,done
metals___corrosion_resistance_to_aggresive_fluids.md,Metals - Corrosion Resistance to Aggresive Fluids,datatable,done
metals___latent_heat_of_melting.md,Metals - Latent Heat of Melting,chart,done
metals___machinability.md,Metals - Machinability,datatable,done
metals___specific_heats.md,Metals - Specific Heats,datatable,done
metals___temperature_expansion_coefficients.md,Metals - Temperature Expansion Coefficients,calculator-table,done
metals_and_alloys___bulk_modulus_elasticity.md,Metals and Alloys - Bulk Modulus Elasticity,calculator-table,done
metals_and_alloys___densities.md,Metals and Alloys - Densities,calculator,done
metals_and_alloys___melting_temperatures.md,Metals and Alloys - Melting Temperatures,calculator,done
metals_and_alloys___young_s_modulus_of_elasticity.md,Metals and Alloys - Young's Modulus of Elasticity,calculator,done
metals_in_seawater___galvanic_series.md,Metals in Seawater - Galvanic Series,calculator,done
metals_strength_vs__temperature.md,Metals Strength vs. Temperature,datatable,done
methane____dynamic_and_kinematic_viscosity_vs__tem.md,Methane -  Dynamic and Kinematic Viscosity vs. Temperature and Pressure,datatable,done
methane___density_and_specific_weight_vs__temperat.md,Methane - Density and Specific Weight vs. Temperature and Pressure,calculator,done
methane___liquid_vs__gaseous_units.md,Methane - Liquid vs. Gaseous Units,calculator,done
methane___prandtl_number_vs__temperature.md,Methane - Prandtl number vs. Temperature,datatable,done
methane___thermal_conductivity_vs__temperature_and.md,Methane - Thermal Conductivity vs. Temperature and Pressure,calculator-chart,done
methane__ch____thermophysical_properties_and_phase.md,Methane (CH₄): Thermophysical Properties and Phase Diagram,calculator,done
methane_gas___specific_heat_vs__temperature.md,Methane Gas - Specific Heat vs. Temperature,calculator,done
methanol___density_and_specific_weight_vs__tempera.md,Methanol - Density and Specific Weight vs. Temperature and Pressure,calculator,done
methanol___dynamic_and_kinematic_viscosity_vs__tem.md,Methanol - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,datatable,done
methanol___specific_heat_vs__temperature_and_press.md,Methanol - Specific Heat vs. Temperature and Pressure,chart,done
methanol___thermophysical_properties.md,Methanol - Thermophysical Properties,chart,done
methanol___thermophysical_properties_vs__temperatu.md,Methanol - Thermophysical Properties vs. Temperature,chart,done
methanol_freeze_protected_heat_transfer_liquids.md,Methanol Freeze Protected Heat Transfer Liquids,calculator,done
metric_bolt_heads_and_wrench_sizes.md,Metric Bolt Heads and Wrench Sizes,datatable,done
metric_bolt_strength__minimum__ultimate_tensile___.md,"Metric Bolt Strength: Minimum, Ultimate Tensile & Proof Loads - Metric",none,pending
metric_nuts___proof_loads.md,Metric Nuts - Proof Loads,calculator-table,done
metric_steel_bolts___grades_and__property_classes.md,Metric Steel Bolts - Grades and  Property Classes,calculator,done
microwave_heating.md,Microwave Heating,calculator,done
mild_steel___round_bars_weight.md,Mild Steel - Round Bars Weight,chart,done
mild_steel___square_bars_weight.md,Mild Steel - Square Bars Weight,none,pending
mineral_hardness___mohs_scale.md,Mineral Hardness - Mohs Scale,chart,done
mineral_wool_insulation.md,Mineral Wool Insulation,calculator-table,done
minerals___densities.md,Minerals - Densities,datatable,done
minerals_and_other_materials___specific_gravities.md,Minerals and other Materials - Specific Gravities,calculator,done
minutes_to_decimal_hours_conversion__chart___calcu.md,Minutes to Decimal Hours Conversion: Chart & Calculator,calculator-table,done
minutes_vs__degrees___converting_chart.md,Minutes vs. Degrees - Converting Chart,calculator,done
miter_saw_angle_protractor___quick___accurate_angl.md,Miter Saw Angle Protractor – Quick & Accurate Angle Measurements,datatable,done
mixing_fluids.md,Mixing Fluids,chart,done
mixing_liquids_and_or_solids___final_temperatures.md,Mixing Liquids and/or Solids - Final Temperatures,chart,done
mixing_of_humid_air.md,Mixing of Humid Air,none,pending
mixtures__solutions_and_suspensions.md,"Mixtures, Solutions and Suspensions",calculator-chart,done
modulus_of_rigidity.md,Modulus of Rigidity,datatable,done
moist_air___cooling_and_dehumidifying.md,Moist Air - Cooling and Dehumidifying,datatable,done
moist_air___degree_of_saturation.md,Moist Air - Degree of Saturation,chart-table,done
moist_air___density_vs__pressure.md,Moist Air - Density vs. Pressure,none,pending
moist_air___density_vs__water_content_and_temperat.md,Moist Air - Density vs. Water Content and Temperature,calculator,done
moist_air___enthalpy.md,Moist Air - Enthalpy,none,pending
moist_air___mole_fraction_of_water_vapor.md,Moist Air - Mole Fraction of Water Vapor,none,pending
moist_air___partial_pressure_and_daltons_law.md,Moist Air - Partial Pressure and Daltons Law,calculator-table,done
moist_air___properties.md,Moist Air - Properties,datatable,done
